COMMAND

    echo 'The Belobog Academy has discovered a new, invasive species of algae that can double itself in one day, and in 30 days fills a whole reservoir - contaminating the water supply. How many days would it take for the algae to fill half of the reservoir?' | ./gemma --model 7b-it --compressed_weights ~/weights/gemma-7b-it-sfp/7b-it-sfp.sbs --tokenizer ~/weights/gemma-7b-it-sfp/tokenizer.spm --num_threads 1 --verbosity 0 --temperature 0

MATVEC OUTPUT TRACE

    The `gold` output matrix was produced on an avx512 machine. The
    `out` output matrix was produced on an AVX2 machine. These logs
    display the sum of absolute differences (sad) between the two output
    vectors, divided by the number of elements. Each line also displays
    the min/max value of each vector, to show the range.

[ Reading prompt ]
trace/000_000_00140.dat: sad 0.000853121 [gold -0.370261 .. 1.26915] [out -0.369606 .. 1.27971]
trace/000_000_00141.dat: sad 0.00567812 [gold -14.2294 .. 13.7118] [out -14.2535 .. 13.7415]
trace/000_000_00142.dat: sad 0.00697909 [gold -6.16658 .. 3.16846] [out -6.16233 .. 3.1576]
trace/000_000_00143.dat: sad 0.00104407 [gold -0.447271 .. 0.971684] [out -0.443891 .. 0.979276]
trace/000_000_00144.dat: sad 0.00277725 [gold -12.4925 .. 7.71886] [out -12.4593 .. 7.70847]
trace/000_000_00145.dat: sad 0.00379772 [gold -6.67787 .. 2.21338] [out -6.6776 .. 2.21114]
trace/000_000_00146.dat: sad 0.00110918 [gold -2.06361 .. 1.54846] [out -2.03106 .. 1.53588]
trace/000_000_00147.dat: sad 0.118348 [gold -11.9355 .. 11.7954] [out -11.4353 .. 11.395]
trace/000_000_00148.dat: sad 0.122779 [gold -5.43479 .. 3.75188] [out -5.05079 .. 3.56902]
trace/000_000_00149.dat: sad 0.0155671 [gold -0.332618 .. 1.01947] [out -0.339114 .. 1.11533]
trace/000_000_00150.dat: sad 0.0743466 [gold -10.4599 .. 10.3007] [out -10.2346 .. 10.0711]
trace/000_000_00151.dat: sad 0.0896141 [gold -4.31767 .. 3.38462] [out -4.37184 .. 3.11364]
trace/000_000_00152.dat: sad 0.0129832 [gold -0.403042 .. 1.24335] [out -0.29989 .. 0.985303]
trace/000_000_00153.dat: sad 0.0863469 [gold -9.53932 .. 10.4189] [out -9.00541 .. 10.1672]
trace/000_000_00154.dat: sad 0.0900932 [gold -5.14541 .. 2.98063] [out -5.14385 .. 2.59473]
trace/000_000_00155.dat: sad 0.0158144 [gold -0.597442 .. 1.89342] [out -0.511475 .. 1.51225]
trace/000_000_00156.dat: sad 0.089194 [gold -9.76933 .. 10.6809] [out -9.12308 .. 10.4345]
trace/000_000_00157.dat: sad 0.086915 [gold -4.40545 .. 3.61481] [out -4.16509 .. 3.59419]
trace/000_000_00158.dat: sad 0.017129 [gold -0.376668 .. 1.70961] [out -0.322933 .. 1.32974]
trace/000_000_00159.dat: sad 0.0827519 [gold -9.98856 .. 10.7475] [out -9.76889 .. 10.7257]
trace/000_000_00160.dat: sad 0.13768 [gold -4.36666 .. 4.04513] [out -4.5076 .. 3.91824]
trace/000_000_00161.dat: sad 0.0184774 [gold -0.437117 .. 1.48222] [out -0.412155 .. 1.13937]
trace/000_000_00162.dat: sad 0.129548 [gold -13.0295 .. 11.8369] [out -12.7088 .. 11.393]
trace/000_000_00163.dat: sad 0.119058 [gold -5.73197 .. 6.77038] [out -5.56859 .. 7.33593]
trace/000_000_00164.dat: sad 0.0314927 [gold -0.579392 .. 0.722241] [out -0.596273 .. 0.615865]
